gps_center,band_psd,n_avg
1256762816.0,1.915028e-46,63
1256762944.0,1.959358e-46,63
1256763072.0,1.937771e-46,63
1256763200.0,2.065998e-46,63
1256763328.0,1.945310e-46,63
1256763456.0,1.984138e-46,63
1256763584.0,1.984786e-46,63
1256763712.0,1.976655e-46,63
1256763840.0,2.020919e-46,63
1256763968.0,2.018456e-46,63
1256764096.0,1.955789e-46,63
1256764224.0,1.898343e-46,63
1256764352.0,1.902230e-46,63
1256764480.0,1.926025e-46,63
1256764608.0,1.892516e-46,63
1256764736.0,1.896487e-46,63
1256764864.0,1.925514e-46,63
1256764992.0,1.883600e-46,63
1256765120.0,1.938200e-46,63
1256765248.0,1.910144e-46,63
1256765376.0,1.937912e-46,63
1256765504.0,1.950617e-46,63
1256765632.0,1.943740e-46,63
1256765760.0,1.901148e-46,63
1256765888.0,1.884341e-46,63
1256766016.0,1.958796e-46,63
1256766144.0,1.954225e-46,63
1256766272.0,1.976340e-46,63
1256766400.0,1.968216e-46,63
1256766528.0,1.935545e-46,63
1256766656.0,1.904120e-46,63
1256766784.0,1.887277e-46,63
1256766912.0,1.911251e-46,63
1256767040.0,1.898849e-46,63
1256767168.0,1.947442e-46,63
1256767296.0,1.902430e-46,63
1256767424.0,1.932236e-46,63
1256767552.0,1.912856e-46,63
1256767680.0,2.002488e-46,63
1256767808.0,1.945969e-46,63
1256767936.0,1.963266e-46,63
1256768064.0,1.989734e-46,63
1256768192.0,1.914556e-46,63
1256768320.0,1.899307e-46,63
1256768448.0,1.861971e-46,63
1256768576.0,1.915896e-46,63
1256768704.0,1.926165e-46,63
1256768832.0,1.878057e-46,63
1256768960.0,1.961685e-46,63
1256769088.0,1.919005e-46,63
1256769216.0,1.925500e-46,63
1256769344.0,1.917746e-46,63
1256769472.0,1.936335e-46,63
1256769600.0,1.927082e-46,63
1256769728.0,1.888061e-46,63
1256769856.0,1.904833e-46,63
1256769984.0,1.919940e-46,63
1256770112.0,1.887271e-46,63
1256770240.0,1.875857e-46,63
1256771935.0,1.759553e-46,63
1256772063.0,1.717319e-46,63
1256772191.0,1.738243e-46,63
1256772319.0,1.723101e-46,63
1256772447.0,1.736234e-46,63
1256772575.0,1.729000e-46,63
1256772703.0,1.748178e-46,63
1256772831.0,1.750450e-46,63
1256772959.0,1.747628e-46,63
1256773087.0,1.757311e-46,63
1256773215.0,1.738554e-46,63
1256773343.0,1.725033e-46,63
1256773471.0,1.757678e-46,63
1256773599.0,1.739680e-46,63
1256773727.0,1.756736e-46,63
1256773855.0,1.731090e-46,63
1256773983.0,1.806946e-46,63
1256774111.0,1.723703e-46,63
1256774239.0,1.745379e-46,63
1256774367.0,1.742413e-46,63
1256774495.0,1.779763e-46,63
1256774812.0,1.726456e-46,63
1256774940.0,1.758302e-46,63
1256775068.0,1.796341e-46,63
1256775196.0,1.809571e-46,63
1256775324.0,1.794852e-46,63
1256775452.0,1.817192e-46,63
1256775580.0,1.778186e-46,63
1256775744.0,1.793177e-46,63
1256775872.0,1.749922e-46,63
1256776000.0,1.707861e-46,63
1256776128.0,1.747458e-46,63
1256776256.0,1.766325e-46,63
1256776384.0,1.788000e-46,63
1256776512.0,1.738243e-46,63
1256776640.0,1.765856e-46,63
1256776768.0,1.718625e-46,63
1256776896.0,1.722541e-46,63
1256777024.0,1.753999e-46,63
1256777152.0,1.730979e-46,63
1256777280.0,1.738792e-46,63
1256777408.0,1.749802e-46,63
1256777536.0,1.760603e-46,63
1256777664.0,1.734640e-46,63
1256777792.0,1.731795e-46,63
1256777920.0,1.746438e-46,63
1256778048.0,1.755604e-46,63
1256778176.0,1.706309e-46,63
1256778304.0,1.743738e-46,63
1256778432.0,1.724998e-46,63
1256778560.0,1.741001e-46,63
1256778688.0,1.746371e-46,63
1256778816.0,1.719613e-46,63
1256778944.0,1.714909e-46,63
1256779072.0,1.742536e-46,63
1256779200.0,1.729871e-46,63
1256779328.0,1.749713e-46,63
1256779456.0,1.739236e-46,63
1256779584.0,1.759190e-46,63
1256779712.0,1.738771e-46,63
1256779840.0,1.725503e-46,63
1256779968.0,1.740724e-46,63
1256780096.0,1.750877e-46,63
1256780224.0,1.719166e-46,63
1256780352.0,1.744415e-46,63
1256780480.0,1.696320e-46,63
1256780608.0,1.712920e-46,63
1256780736.0,1.744855e-46,63
1256780864.0,1.755821e-46,63
1256780992.0,1.729558e-46,63
1256781120.0,1.743996e-46,63
1256781248.0,1.762290e-46,63
1256781376.0,1.710194e-46,63
1256781504.0,1.746275e-46,63
1256781632.0,1.755646e-46,63
1256781760.0,1.771350e-46,63
1256781888.0,1.764139e-46,63
1256782016.0,1.763364e-46,63
1256782144.0,1.742819e-46,63
